Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Percentile_Rank_Striking_to_grappling_attempts_ratio,Total Striking Time to Grappling Action Time Ratio,Percentile_Rank_Striking_to_grappling_Time_ratio
Aaron Phillips,30,0,0,137,109,40,18,83,21,102,94,1,0,0,2,0,0.26875,103,29.73125,1.330097087,0.218,110.627907,0.853
Abdul Razak Alhassan,35,0,4,576,268,540,244,1093,384,33,22,0,6,2,40,20,0.166666667,39,34.83333333,14.76923077,0.865,209,0.908
Abdul-Kerim Edilov,10,0,1,0,0,0,0,60,25,0,0,0,0,0,1,0,0.625,1,9.375,0,0,15,0.304
Abel Trujillo,75,2,1,1206,402,1080,276,1815,827,145,117,3,60,17,32,12,4.141666667,208,70.85833333,5.798076923,0.669,17.10865191,0.374
Abner Lloveras,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Abu Azaitar,15,0,0,0,0,0,0,467,216,0,0,0,0,0,5,2,0.625,1,14.375,0,0,23,0.435
Adam Antolin,15,0,0,0,0,0,0,143,59,0,0,0,0,0,8,3,0.625,1,14.375,0,0,23,0.435
Adam Milstead,35,0,1,243,125,233,117,357,158,7,5,0,0,0,23,13,0.625,7,34.375,34.71428571,0.939,55,0.766
Adam Wieczorek,25,1,0,129,73,95,42,367,238,36,31,0,1,0,18,10,0.491666667,37,24.50833333,3.486486486,0.492,49.84745763,0.754
Adam Yandiev,10,0,0,0,0,0,0,312,140,0,0,0,0,0,22,8,0.625,1,9.375,0,0,15,0.304
