class,striking_to_grappling_attempts_ratio
Striker,359.25
Striker,351
Striker,316
Striker,286
Striker,282
Striker,248
Striker,206
Striker,172.25
Striker,168
Striker,134
Striker,127
Striker,126
Striker,121.5
Striker,108
Striker,107.5
Striker,106
Striker,103
Striker,101
Striker,97
Striker,87.5
Striker,83
Striker,80.5
Striker,80.5
Striker,79
Striker,78
Striker,77.8
Striker,75
Striker,66
Striker,65.25
Striker,64.6
Striker,64.5
Striker,64
Striker,62
Striker,61.06
Striker,58.67
Striker,58.27
Striker,58
Striker,57.47
Striker,56
Striker,56
Striker,55.67
Striker,55.2
Striker,54.65
Striker,54.33
Striker,54
Striker,51
Striker,50.13
Striker,47.39
Striker,45
Striker,44.43
Striker,44.33
Striker,43.67
Striker,43.16
Hybrid Striker,42.88
Striker,42.25
Striker,40.17
Striker,40
Striker,37.5
Striker,37
Striker,37
Grappler,37
Striker,36.5
Hybrid Grappler,36.47
Striker,35.61
Striker,35.33
Striker,35.2
Striker,34.71
Striker,32.8
Striker,32.63
Striker,32.17
Striker,32
Striker,31.89
Striker,31.36
Striker,31.32
Striker,31
Striker,30.25
Striker,29.59
Striker,29.1
Striker,29
Striker,28.71
Hybrid Striker,28.52
Striker,28.5
Striker,28.49
Striker,28
Striker,28
Striker,27.71
Striker,27
Striker,26.92
Striker,26.78
Striker,26.72
Striker,26.7
Striker,26.31
Striker,25.9
Striker,25.28
Striker,25.13
Striker,25.05
Striker,25
Striker,24.75
Striker,24.29
Striker,24
Striker,23.5
Hybrid Striker,23.13
Hybrid Striker,22.79
Striker,22.64
Striker,22.63
Striker,22.6
Striker,22.34
Striker,22
Striker,22
Striker,22
Striker,22
Striker,22
Striker,22
Striker,22
Striker,21.82
Striker,21.75
Striker,21.73
Striker,21.67
Striker,21.25
Striker,21
Striker,21
Striker,21
Striker,20.45
Striker,20.22
Striker,19.77
Hybrid Striker,19.42
Striker,19.33
Striker,19.33
Striker,19.25
Striker,19
Grappler,19
Striker,18.17
Striker,18
Striker,18
Hybrid Striker,17.99
Striker,17.82
Striker,17.67
Striker,17.37
Striker,17.2
Grappler,17.16
Striker,17.06
Striker,17
Striker,17
Hybrid Striker,17
Grappler,17
Striker,16.94
Striker,16.86
Striker,16.59
Striker,15.93
Striker,15.78
Hybrid Striker,15.52
Striker,15.5
Striker,15.4
Striker,15.06
Striker,15
Striker,15
Hybrid Grappler,14.82
Striker,14.77
Striker,14.58
Striker,14.38
Striker,14.33
Striker,14.26
Striker,14.09
Striker,14.05
Striker,14
Striker,14
Striker,14
Striker,13.97
Striker,13.91
Striker,13.88
Striker,13.75
Striker,13.71
Striker,13.66
Striker,13.64
Striker,13.61
Striker,13.56
Striker,13.5
Striker,13.4
Striker,13.35
Striker,13.1
Striker,13.01
Striker,13
Striker,12.9
Striker,12.83
Striker,12.63
Striker,12.55
Striker,12.53
Striker,12.44
Striker,12.42
Striker,12.41
Hybrid Striker,12.4
Hybrid Grappler,12.37
Striker,12.36
Striker,12.34
Striker,12.32
Striker,12.13
Striker,12.09
Striker,12
Hybrid Grappler,11.88
Hybrid Striker,11.78
Hybrid Striker,11.72
Striker,11.58
Hybrid Striker,11.57
Hybrid Striker,11.4
Hybrid Striker,11.36
Hybrid Striker,11.33
Hybrid Striker,11.31
Hybrid Striker,11.12
Hybrid Striker,11.04
Hybrid Striker,11.04
Hybrid Striker,11
Hybrid Striker,10.99
Striker,10.94
Hybrid Striker,10.93
Hybrid Striker,10.92
Hybrid Striker,10.81
Hybrid Striker,10.76
Hybrid Striker,10.73
Hybrid Striker,10.7
Hybrid Striker,10.69
Hybrid Striker,10.69
Hybrid Striker,10.65
Hybrid Striker,10.63
Hybrid Striker,10.63
Striker,10.58
Striker,10.56
Hybrid Striker,10.44
Hybrid Striker,10.42
Hybrid Striker,10.38
Hybrid Grappler,10.32
Hybrid Grappler,10.23
Striker,10.22
Hybrid Striker,10.12
Hybrid Grappler,10.1
Hybrid Striker,10.05
Striker,10.01
Hybrid Striker,10
Hybrid Striker,10
Hybrid Striker,10
Hybrid Striker,10
Striker,9.99
Hybrid Striker,9.95
Striker,9.94
Striker,9.94
Hybrid Striker,9.93
Hybrid Striker,9.91
Hybrid Striker,9.9
Hybrid Striker,9.83
Hybrid Striker,9.72
Hybrid Grappler,9.56
Hybrid Striker,9.42
Hybrid Striker,9.39
Hybrid Striker,9.27
Hybrid Grappler,9.18
Striker,9.14
Hybrid Striker,9.05
Hybrid Striker,9.03
Hybrid Striker,9
Hybrid Striker,9
Hybrid Striker,8.86
Striker,8.85
Striker,8.84
Striker,8.75
Hybrid Striker,8.7
Hybrid Striker,8.64
Hybrid Striker,8.63
Hybrid Striker,8.6
Hybrid Striker,8.55
Hybrid Grappler,8.51
Hybrid Striker,8.44
Hybrid Striker,8.39
Hybrid Grappler,8.37
Hybrid Striker,8.36
Hybrid Striker,8.34
Hybrid Grappler,8.33
Hybrid Striker,8.33
Hybrid Striker,8.32
Hybrid Striker,8.29
Striker,8.13
Hybrid Striker,8.04
Hybrid Striker,8
Hybrid Striker,8
Hybrid Striker,7.93
Hybrid Striker,7.86
Hybrid Striker,7.84
Hybrid Striker,7.8
Hybrid Striker,7.76
Grappler,7.76
Striker,7.75
Hybrid Grappler,7.66
Hybrid Striker,7.64
Hybrid Striker,7.61
Hybrid Striker,7.57
Hybrid Striker,7.54
Hybrid Striker,7.51
Hybrid Striker,7.5
Hybrid Striker,7.5
Striker,7.46
Hybrid Striker,7.46
Hybrid Striker,7.41
Hybrid Striker,7.41
Hybrid Striker,7.35
Hybrid Grappler,7.35
Hybrid Striker,7.35
Hybrid Striker,7.32
Grappler,7.29
Striker,7.28
Hybrid Striker,7.26
Hybrid Striker,7.22
Hybrid Striker,7.17
Striker,7.16
Hybrid Striker,7.15
Hybrid Striker,7.13
Hybrid Grappler,7.06
Striker,7
Striker,7
Hybrid Striker,7
Hybrid Striker,7
Hybrid Striker,7
Hybrid Striker,7
Grappler,7
Hybrid Striker,7
Hybrid Grappler,6.97
Hybrid Grappler,6.94
Hybrid Striker,6.93
Hybrid Grappler,6.9
Hybrid Grappler,6.81
Hybrid Grappler,6.8
Hybrid Grappler,6.8
Grappler,6.8
Striker,6.79
Hybrid Striker,6.77
Hybrid Grappler,6.77
Striker,6.74
Hybrid Grappler,6.73
Hybrid Grappler,6.72
Hybrid Grappler,6.64
Hybrid Grappler,6.64
Striker,6.6
Hybrid Grappler,6.59
Hybrid Grappler,6.55
Hybrid Grappler,6.54
Hybrid Striker,6.5
Hybrid Grappler,6.5
Hybrid Grappler,6.45
Hybrid Grappler,6.44
Hybrid Grappler,6.42
Hybrid Striker,6.41
Striker,6.41
Hybrid Grappler,6.35
Striker,6.33
Striker,6.27
Hybrid Grappler,6.22
Hybrid Grappler,6.2
Striker,6.19
Hybrid Grappler,6.19
Hybrid Grappler,6.17
Hybrid Grappler,6.13
Hybrid Grappler,6.06
Hybrid Grappler,6.04
Hybrid Grappler,6.04
Grappler,6.03
Hybrid Grappler,6.02
Striker,6.01
Hybrid Grappler,6.01
Hybrid Grappler,6
Hybrid Grappler,5.98
Hybrid Grappler,5.98
Hybrid Striker,5.97
Hybrid Striker,5.97
Hybrid Grappler,5.95
Striker,5.94
Hybrid Grappler,5.93
Hybrid Grappler,5.92
Hybrid Grappler,5.9
Hybrid Grappler,5.9
Hybrid Grappler,5.88
Hybrid Grappler,5.88
Hybrid Grappler,5.86
Striker,5.85
Hybrid Grappler,5.84
Hybrid Grappler,5.8
Striker,5.8
Hybrid Grappler,5.79
Hybrid Grappler,5.77
