Name,class,striking_to_grappling_attempts_ratio,striking_to_grappling_time_ratio
Thomas Almeida,Striker,359.25,267.66
Kevin Souza,Striker,351,39
Vaughan Lee,Striker,316,55
Syuri Kondo,Striker,286,31
Matt Bessette,Striker,282,55
Luke Zachrich,Striker,248,39
Germaine de Randamie,Striker,206,1599
Andy Enz,Striker,172.25,599
Gavin Tucker,Striker,168,47
Kwan Ho Kwak,Striker,134,31
Sam Stout,Striker,127,31
Chanmi Jeon,Striker,126,47
Justin Gaethje,Striker,121.5,999
Jarjis Danho,Striker,108,47
Austin Arnett,Striker,107.5,563.71
Poliana Botelho,Striker,106,599
Kurt Holobaugh,Striker,103,31
Costas Philippou,Striker,101,39
Shana Dobson,Striker,97,39
Melinda Fabian,Striker,87.5,47
Shane Young,Striker,83,351.94
Israel Adesanya,Striker,80.5,79
Akira Corassani,Striker,80.5,31
Michel Quinones,Striker,79,39
Jason Gonzalez,Striker,78,532.33
Ruslan Magomedov,Striker,77.8,4319
Lukasz Sajewski,Striker,75,47
Gokhan Saki,Striker,66,299
Hugo Viana,Striker,65.25,1349
Volkan Oezdemir,Striker,64.6,1399
Jesse Ronson,Striker,64.5,47
Mats Nilsson,Striker,64,31
Cody East,Striker,62,104.88
Anderson Silva,Striker,61.06,1370.43
Marcel Fortuna,Striker,58.67,55
Bobby Green,Striker,58.27,1036.84
Jessin Ayari,Striker,58,47
Luke Barnatt,Striker,57.47,154.84
Josh Copeland,Striker,56,47
Wagner Silva,Striker,56,39
Kelly Faszholz,Striker,55.67,1199
Ji Yeon Kim,Striker,55.2,111.5
Danielle Taylor,Striker,54.65,119
Ron Stallings,Striker,54.33,377.95
Veronica Macedo,Striker,54,47
Juan Puig,Striker,51,15
Alex Nicholson,Striker,50.13,108.8
Justin Ledet,Striker,47.39,99
Marcin Prachnio,Striker,45,15
Leslie Smith,Striker,44.43,2570.43
Andreas Stahl,Striker,44.33,31
Saparbeg Safarov,Striker,43.67,23
Michael Johnson,Striker,43.16,53.44
Marlon Moraes,Hybrid Striker,42.88,134.21
Holly Holm,Striker,42.25,186.16
Barb Honchak,Striker,40.17,284.71
Seohee Ham,Striker,40,653.55
Chris Avila,Striker,37.5,47
Yan Xiaonan,Striker,37,47
Alexandra Albu,Striker,37,39
Minotauro Nogueira,Grappler,37,31
Justin Jones,Striker,36.5,47
Josh Barnett,Hybrid Grappler,36.47,79
Lucas Martins,Striker,35.61,2199
Tom Watson,Striker,35.33,95
Jodie Esquibel,Striker,35.2,47
Adam Milstead,Striker,34.71,55
Angela Magana,Striker,32.8,289.91
Martin Bravo,Striker,32.63,47
Seth Baczynski,Striker,32.17,351.94
Steve Montgomery,Striker,32,31
Edson Barboza,Striker,31.89,51.41
Sean O'Malley,Striker,31.36,310.11
Cole Miller,Striker,31.32,74.36
Junior Albini,Striker,31,39
Valmir Lazaro,Striker,30.25,129.12
Douglas Silva de Andrade,Striker,29.59,73.01
Joanna Jedrzejczyk,Striker,29.1,45.2
Jason Novelli,Striker,29,39
Cain Velasquez,Striker,28.71,103.35
Jimmie Rivera,Hybrid Striker,28.52,82.95
Sean O'Connell,Striker,28.5,177.72
Jimi Manuwa,Striker,28.49,5599
Benito Lopez,Striker,28,47
Chris Clements,Striker,28,31
Rashad Coulter,Striker,27.71,443.44
Muslim Salikhov,Striker,27,31
Junior Dos Santos,Striker,26.92,127.57
Antonio Silva,Striker,26.78,55
Rashad Evans,Striker,26.72,184.92
Marcus Brimage,Striker,26.7,134.21
Sarah Kaufman,Striker,26.31,281.35
Brandon Davis,Striker,25.9,49.76
Michael Bisping,Striker,25.28,88.28
Mike Rhodes,Striker,25.13,465.67
Jocelyn Jones-Lybarger,Striker,25.05,250.16
Luiz Dutra,Striker,25,15
Yusuke Kasuya,Striker,24.75,1199
Mark Godbeer,Striker,24.29,55
Wendell Oliveira,Striker,24,23
An Ying Wang,Striker,23.5,65.67
Takanori Gomi,Hybrid Striker,23.13,17.46
Santiago Ponzinibbio,Hybrid Striker,22.79,84.38
Masio Fullen,Striker,22.64,84.71
Carlo Pedersoli,Striker,22.63,47
Aiemann Zahabi,Striker,22.6,47
Chase Sherman,Striker,22.34,149
Mirko Cro Cop,Striker,22,23
Augusto Sakai,Striker,22,23
Cung Le,Striker,22,31
Alvaro Herrera,Striker,22,399
Dongi Yang,Striker,22,15
Khalid Murtazaliev,Striker,22,15
Steven Siler,Striker,22,31
Frank Camacho,Striker,21.82,55.41
Tonya Evinger,Striker,21.75,31
Daniel Spitz,Striker,21.73,123.14
Chris Indich,Striker,21.67,31
Roldan Sangcha-an,Striker,21.25,149
Anthony Njokuani,Striker,21,47
Paulo Borrachinha,Striker,21,7
Yves Edwards,Striker,21,1199
Joe Proctor,Striker,20.45,168.23
Jessamyn Duke,Striker,20.22,189.91
Brian Camozzi,Striker,19.77,47
Mike de la Torre,Hybrid Striker,19.42,506.69
Marcelo Guimaraes,Striker,19.33,544.45
Mike Easton,Striker,19.33,47
Ion Cutelaba,Striker,19.25,22.57
Anthony Christodoulou,Striker,19,39
Montana De La Rosa,Grappler,19,31
Augusto Mendes,Striker,18.17,239
Chris de la Rocha,Striker,18,39
Tim Williams,Striker,18,31
Jon Jones,Hybrid Striker,17.99,84.04
Hyun Gyu Lim,Striker,17.82,116.07
