Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Total Striking Time to Grappling Action Time Ratio
Aaron Phillips,30,0,0,137.0,109.0,40.0,18.0,83.0,21.0,102.0,94.0,1.0,0.0,0.0,2.0,0.0,0.26875,103.0,29.73125,1.3300970873786409,110.62790697674419
Abdul Razak Alhassan,35,0,4,576.0,268.0,540.0,244.0,1093.0,384.0,33.0,22.0,0.0,6.0,2.0,40.0,20.0,0.16666666666666666,39.0,34.833333333333336,14.76923076923077,209.00000000000003
Abdul-Kerim Edilov,10,0,1,0.0,0.0,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.625,1.0,9.375,0.0,15.0
Abel Trujillo,75,3,1,1206.0,402.0,1080.0,276.0,1815.0,827.0,145.0,117.0,3.0,60.0,17.0,32.0,12.0,4.141666666666667,208.0,70.85833333333333,5.798076923076923,17.10865191146881
Abner Lloveras,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Abu Azaitar,15,0,0,0.0,0.0,0.0,0.0,467.0,216.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.625,1.0,14.375,0.0,23.0
Adam Antolin,15,0,0,0.0,0.0,0.0,0.0,143.0,59.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.625,1.0,14.375,0.0,23.0
Adam Milstead,35,0,1,243.0,125.0,233.0,117.0,357.0,158.0,7.0,5.0,0.0,0.0,0.0,23.0,13.0,0.625,7.0,34.375,34.714285714285715,55.0
Adam Wieczorek,25,1,0,129.0,73.0,95.0,42.0,367.0,238.0,36.0,31.0,0.0,1.0,0.0,18.0,10.0,0.49166666666666664,37.0,24.508333333333333,3.4864864864864864,49.847457627118644
Adam Yandiev,10,0,0,0.0,0.0,0.0,0.0,312.0,140.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,0.625,1.0,9.375,0.0,15.0
Adriano Martins,60,0,2,475.0,196.0,452.0,177.0,643.0,282.0,30.0,21.0,0.0,12.0,9.0,49.0,19.0,1.5041666666666667,42.0,58.49583333333333,11.30952380952381,38.88919667590027
Aiemann Zahabi,30,0,0,113.0,45.0,112.0,44.0,249.0,124.0,5.0,3.0,0.0,0.0,0.0,6.0,3.0,0.625,5.0,29.375,22.6,47.0
Aisling Daly,35,1,0,228.0,154.0,117.0,59.0,139.0,68.0,108.0,87.0,3.0,9.0,4.0,4.0,1.0,1.6708333333333334,120.0,33.329166666666666,1.9,19.947630922693264
Akbarh Arreola,45,1,0,398.0,196.0,345.0,148.0,491.0,221.0,74.0,66.0,2.0,8.0,8.0,22.0,8.0,0.35833333333333334,84.0,44.641666666666666,4.738095238095238,124.5813953488372
