Name,estimated_minutes,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Significant Strikes Landed per Minute,Str. Acc. - Significant Striking Accuracy,Significant Strikes Absorbed per Minute,Significant Strike Defence (% of Opponents Strikes Missed),Average Takedowns Landed per minute,TD Acc. - Takedown Accuracy,Takedown Defense (% of opponents TD attempts missed),Sub. Avg. - Average Submissions Attempted per minute
Aaron Phillips,30,40.0,18.0,83.0,21.0,1.0,0.0,0.0,2.0,0.0,0.6,0.45,0.7,2.066666666666667,2.7666666666666666,0.0,1.0,0.03333333333333333
Abdul Razak Alhassan,35,540.0,244.0,1093.0,384.0,0.0,6.0,2.0,40.0,20.0,6.9714285714285715,0.45185185185185184,10.971428571428572,20.257142857142856,31.228571428571428,0.3333333333333333,0.5,0.0
Abdul-Kerim Edilov,10,0.0,0.0,60.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,3.5,6.0,0.0,1.0,0.0
Abel Trujillo,75,1080.0,276.0,1815.0,827.0,3.0,60.0,17.0,32.0,12.0,3.68,0.25555555555555554,11.026666666666667,13.173333333333334,24.2,0.2833333333333333,0.625,0.04
Abner Lloveras,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abu Azaitar,15,0.0,0.0,467.0,216.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,14.4,16.733333333333334,31.133333333333333,0.0,0.6,0.0
Adam Antolin,15,0.0,0.0,143.0,59.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,3.933333333333333,5.6,9.533333333333333,0.0,0.625,0.0
Adam Milstead,35,233.0,117.0,357.0,158.0,0.0,0.0,0.0,23.0,13.0,3.342857142857143,0.5021459227467812,4.514285714285714,5.685714285714286,10.2,0.0,0.43478260869565216,0.0
Adam Wieczorek,25,95.0,42.0,367.0,238.0,0.0,1.0,0.0,18.0,10.0,1.68,0.4421052631578947,9.52,5.16,14.68,0.0,0.4444444444444444,0.0
Adam Yandiev,10,0.0,0.0,312.0,140.0,0.0,0.0,0.0,22.0,8.0,0.0,0.0,14.0,17.2,31.2,0.0,0.6363636363636364,0.0
Adriano Martins,60,452.0,177.0,643.0,282.0,0.0,12.0,9.0,49.0,19.0,2.95,0.3915929203539823,4.7,6.016666666666667,10.716666666666667,0.75,0.6122448979591837,0.0
Aiemann Zahabi,30,112.0,44.0,249.0,124.0,0.0,0.0,0.0,6.0,3.0,1.4666666666666666,0.39285714285714285,4.133333333333334,4.166666666666667,8.3,0.0,0.5,0.0
Aisling Daly,35,117.0,59.0,139.0,68.0,3.0,9.0,4.0,4.0,1.0,1.6857142857142857,0.5042735042735043,1.9428571428571428,2.0285714285714285,3.9714285714285715,0.4444444444444444,0.75,0.08571428571428572
Akbarh Arreola,45,345.0,148.0,491.0,221.0,2.0,8.0,8.0,22.0,8.0,3.2888888888888888,0.4289855072463768,4.911111111111111,6.0,10.911111111111111,1.0,0.6363636363636364,0.044444444444444446
Akira Corassani,20,161.0,59.0,710.0,355.0,0.0,2.0,0.0,11.0,5.0,2.95,0.36645962732919257,17.75,17.75,35.5,0.0,0.5454545454545454,0.0
Al Iaquinta,105,3232.0,1309.0,1886.0,874.0,19.0,44.0,9.0,69.0,26.0,12.466666666666667,0.40501237623762376,8.323809523809524,9.638095238095238,17.961904761904762,0.20454545454545456,0.6231884057971014,0.18095238095238095
Alan Jouban,105,4316.0,2266.0,2139.0,892.0,0.0,22.0,13.0,51.0,22.0,21.580952380952382,0.5250231696014829,8.495238095238095,11.876190476190477,20.37142857142857,0.5909090909090909,0.5686274509803921,0.0
Alan Omer,30,101.0,58.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.9333333333333333,0.5742574257425742,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Alan Patrick,85,1008.0,385.0,1310.0,608.0,5.0,135.0,44.0,41.0,26.0,4.529411764705882,0.3819444444444444,7.152941176470589,8.258823529411766,15.411764705882353,0.32592592592592595,0.36585365853658536,0.058823529411764705
Albert Cheng,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Morales,80,2280.0,769.0,948.0,460.0,0.0,23.0,7.0,18.0,12.0,9.6125,0.33728070175438596,5.75,6.1,11.85,0.30434782608695654,0.3333333333333333,0.0
Albert Tumenov,85,2039.0,860.0,1453.0,698.0,0.0,18.0,7.0,30.0,11.0,10.117647058823529,0.4217753800882786,8.211764705882352,8.882352941176471,17.094117647058823,0.3888888888888889,0.6333333333333333,0.0
Alberto Mina,45,523.0,256.0,502.0,244.0,0.0,38.0,6.0,24.0,8.0,5.688888888888889,0.4894837476099426,5.4222222222222225,5.733333333333333,11.155555555555555,0.15789473684210525,0.6666666666666666,0.0
Alberto Uda,15,27.0,15.0,287.0,104.0,0.0,2.0,1.0,4.0,2.0,1.0,0.5555555555555556,6.933333333333334,12.2,19.133333333333333,0.5,0.5,0.0
Alejandro Perez,105,3313.0,1268.0,1839.0,720.0,8.0,60.0,15.0,55.0,29.0,12.076190476190476,0.38273468155750073,6.857142857142857,10.657142857142857,17.514285714285716,0.25,0.4727272727272727,0.0761904761904762
Aleksandar Rakic,30,150.0,46.0,724.0,341.0,0.0,0.0,0.0,52.0,14.0,1.5333333333333334,0.30666666666666664,11.366666666666667,12.766666666666667,24.133333333333333,0.0,0.7307692307692307,0.0
Aleksei Kunchenko,15,0.0,0.0,748.0,321.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,21.4,28.466666666666665,49.86666666666667,0.0,0.3333333333333333,0.0
Aleksei Oleinik,60,888.0,453.0,2064.0,946.0,28.0,78.0,36.0,94.0,34.0,7.55,0.5101351351351351,15.766666666666667,18.633333333333333,34.4,0.46153846153846156,0.6382978723404256,0.4666666666666667
Alessandro Ricci,20,60.0,28.0,745.0,311.0,0.0,2.0,0.0,8.0,3.0,1.4,0.4666666666666667,15.55,21.7,37.25,0.0,0.625,0.0
Alessio Di Chirico,60,1041.0,451.0,481.0,269.0,0.0,31.0,15.0,23.0,5.0,7.516666666666667,0.4332372718539865,4.483333333333333,3.533333333333333,8.016666666666667,0.4838709677419355,0.782608695652174,0.0
Alex Caceres,155,5615.0,2311.0,1542.0,590.0,12.0,57.0,45.0,43.0,16.0,14.90967741935484,0.4115761353517364,3.806451612903226,6.141935483870967,9.948387096774194,0.7894736842105263,0.627906976744186,0.07741935483870968
Alex Chambers,55,551.0,285.0,249.0,156.0,8.0,34.0,14.0,16.0,10.0,5.181818181818182,0.5172413793103449,2.8363636363636364,1.690909090909091,4.527272727272727,0.4117647058823529,0.375,0.14545454545454545
Alex Garcia,105,2370.0,781.0,2467.0,1031.0,1.0,195.0,117.0,71.0,32.0,7.438095238095238,0.32953586497890297,9.81904761904762,13.676190476190476,23.495238095238093,0.6,0.5492957746478874,0.009523809523809525
Alex Morono,75,2027.0,877.0,1752.0,794.0,6.0,12.0,0.0,67.0,28.0,11.693333333333333,0.4326591021213616,10.586666666666666,12.773333333333333,23.36,0.0,0.582089552238806,0.08
Alex Nicholson,35,397.0,166.0,613.0,321.0,0.0,0.0,0.0,10.0,4.0,4.742857142857143,0.4181360201511335,9.17142857142857,8.342857142857143,17.514285714285716,0.0,0.6,0.0
Alex Oliveira,140,4012.0,1972.0,5212.0,2244.0,45.0,447.0,157.0,92.0,38.0,14.085714285714285,0.4915254237288136,16.02857142857143,21.2,37.22857142857143,0.3512304250559284,0.5869565217391305,0.32142857142857145
Alex Perez,35,279.0,116.0,432.0,201.0,9.0,17.0,9.0,28.0,13.0,3.3142857142857145,0.4157706093189964,5.742857142857143,6.6,12.342857142857143,0.5294117647058824,0.5357142857142857,0.2571428571428571
