Name,estimated_minutes,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Total Striking Time to Grappling Action Time Ratio
Aaron Phillips,30,137.0,109.0,40.0,18.0,83.0,21.0,102.0,94.0,1.0,0.0,0.0,2.0,0.0,0.14333333333333334,103.0,29.856666666666666,1.3300970873786409,5.971333333333333
Abdul Razak Alhassan,35,576.0,268.0,540.0,244.0,1093.0,384.0,33.0,22.0,0.0,6.0,2.0,40.0,20.0,0.08888888888888889,39.0,34.91111111111111,14.76923076923077,6.982222222222222
Abel Trujillo,75,1206.0,402.0,1080.0,276.0,1815.0,827.0,145.0,117.0,3.0,60.0,17.0,32.0,12.0,2.2088888888888887,208.0,72.7911111111111,5.798076923076923,14.558222222222222
Adam Milstead,35,243.0,125.0,233.0,117.0,357.0,158.0,7.0,5.0,0.0,0.0,0.0,23.0,13.0,0.0,7.0,35.0,34.714285714285715,7.0
Adam Wieczorek,25,129.0,73.0,95.0,42.0,367.0,238.0,36.0,31.0,0.0,1.0,0.0,18.0,10.0,0.26222222222222225,37.0,24.73777777777778,3.4864864864864864,4.947555555555556
Adriano Martins,60,475.0,196.0,452.0,177.0,643.0,282.0,30.0,21.0,0.0,12.0,9.0,49.0,19.0,0.8022222222222222,42.0,59.19777777777778,11.30952380952381,11.839555555555556
Aiemann Zahabi,30,113.0,45.0,112.0,44.0,249.0,124.0,5.0,3.0,0.0,0.0,0.0,6.0,3.0,0.0,5.0,30.0,22.6,6.0
Aisling Daly,35,228.0,154.0,117.0,59.0,139.0,68.0,108.0,87.0,3.0,9.0,4.0,4.0,1.0,0.8911111111111111,120.0,34.10888888888889,1.9,6.821777777777778
Akbarh Arreola,45,398.0,196.0,345.0,148.0,491.0,221.0,74.0,66.0,2.0,8.0,8.0,22.0,8.0,0.19111111111111112,84.0,44.80888888888889,4.738095238095238,8.961777777777778
Akira Corassani,20,161.0,59.0,161.0,59.0,710.0,355.0,0.0,0.0,0.0,2.0,0.0,11.0,5.0,0.0,2.0,20.0,80.5,4.0
Al Iaquinta,105,3395.0,1440.0,3232.0,1309.0,1886.0,874.0,277.0,208.0,19.0,44.0,9.0,69.0,26.0,1.1466666666666667,340.0,103.85333333333334,9.985294117647058,20.770666666666667
Alan Jouban,105,4676.0,2614.0,4316.0,2266.0,2139.0,892.0,496.0,395.0,0.0,22.0,13.0,51.0,22.0,3.028888888888889,518.0,101.97111111111111,9.027027027027026,20.394222222222222
Alan Omer,30,112.0,69.0,101.0,58.0,0.0,0.0,25.0,19.0,0.0,3.0,1.0,0.0,0.0,0.0,28.0,30.0,4.0,6.0
Alan Patrick,85,1552.0,840.0,1008.0,385.0,1310.0,608.0,642.0,517.0,5.0,135.0,44.0,41.0,26.0,8.88888888888889,782.0,76.11111111111111,1.9846547314578005,8.5625
Albert Morales,80,2548.0,949.0,2280.0,769.0,948.0,460.0,234.0,157.0,0.0,23.0,7.0,18.0,12.0,1.5044444444444445,257.0,78.49555555555555,9.914396887159533,15.699111111111112
Albert Tumenov,85,2237.0,987.0,2039.0,860.0,1453.0,698.0,410.0,221.0,0.0,18.0,7.0,30.0,11.0,2.1044444444444443,428.0,82.89555555555556,5.2266355140186915,16.57911111111111
Alberto Mina,45,603.0,309.0,523.0,256.0,502.0,244.0,114.0,83.0,0.0,38.0,6.0,24.0,8.0,0.5911111111111111,152.0,44.40888888888889,3.9671052631578947,8.881777777777778
Alberto Uda,15,40.0,28.0,27.0,15.0,287.0,104.0,6.0,5.0,0.0,2.0,1.0,4.0,2.0,0.057777777777777775,8.0,14.942222222222222,5.0,2.9884444444444442
Alejandro Perez,105,3849.0,1751.0,3313.0,1268.0,1839.0,720.0,937.0,752.0,8.0,60.0,15.0,55.0,29.0,1.031111111111111,1005.0,103.96888888888888,3.8298507462686566,20.793777777777777
Aleksandar Rakic,30,179.0,75.0,150.0,46.0,724.0,341.0,24.0,24.0,0.0,0.0,0.0,52.0,14.0,0.0,24.0,30.0,7.458333333333333,6.0
Aleksei Oleinik,60,1643.0,1151.0,888.0,453.0,2064.0,946.0,502.0,446.0,28.0,78.0,36.0,94.0,34.0,0.6633333333333333,608.0,59.336666666666666,2.7023026315789473,11.867333333333333
Alessandro Ricci,20,118.0,83.0,60.0,28.0,745.0,311.0,5.0,4.0,0.0,2.0,0.0,8.0,3.0,0.0,7.0,20.0,16.857142857142858,4.0
Alessio Di Chirico,60,1279.0,662.0,1041.0,451.0,481.0,269.0,158.0,130.0,0.0,31.0,15.0,23.0,5.0,0.9288888888888889,189.0,59.07111111111111,6.767195767195767,11.814222222222222
Alex Caceres,155,6026.0,2661.0,5615.0,2311.0,1542.0,590.0,420.0,315.0,12.0,57.0,45.0,43.0,16.0,3.6766666666666667,489.0,151.32333333333332,12.323108384458077,30.264666666666663
Alex Chambers,55,707.0,418.0,551.0,285.0,249.0,156.0,66.0,60.0,8.0,34.0,14.0,16.0,10.0,1.3722222222222222,108.0,53.62777777777778,6.546296296296297,10.725555555555555
Alex Garcia,105,2901.0,1205.0,2370.0,781.0,2467.0,1031.0,665.0,469.0,1.0,195.0,117.0,71.0,32.0,12.805555555555555,861.0,92.19444444444444,3.3693379790940767,7.199566160520607
Alex Morono,75,2244.0,1079.0,2027.0,877.0,1752.0,794.0,192.0,154.0,6.0,12.0,0.0,67.0,28.0,0.2866666666666667,210.0,74.71333333333334,10.685714285714285,14.942666666666668
Alex Nicholson,35,401.0,170.0,397.0,166.0,613.0,321.0,8.0,8.0,0.0,0.0,0.0,10.0,4.0,0.17,8.0,34.83,50.125,6.965999999999999
Alex Oliveira,140,5620.0,3295.0,4012.0,1972.0,5212.0,2244.0,1414.0,1140.0,45.0,447.0,157.0,92.0,38.0,18.557777777777776,1906.0,121.44222222222223,2.948583420776495,6.544006705783739
Alex Perez,35,370.0,196.0,279.0,116.0,432.0,201.0,105.0,88.0,9.0,17.0,9.0,28.0,13.0,1.86,131.0,33.14,2.8244274809160306,6.628
Alex White,95,3469.0,1505.0,3119.0,1197.0,2359.0,1040.0,247.0,219.0,5.0,44.0,18.0,104.0,22.0,2.631111111111111,296.0,92.36888888888889,11.719594594594595,18.473777777777777
Alexa Grasso,50,1254.0,657.0,971.0,419.0,1091.0,507.0,78.0,66.0,2.0,6.0,3.0,56.0,16.0,0.08888888888888889,86.0,49.91111111111111,14.581395348837209,9.982222222222223
Alexander Gustafsson,80,1041.0,589.0,840.0,404.0,1302.0,638.0,243.0,215.0,0.0,27.0,10.0,50.0,20.0,3.34,270.0,76.66,3.8555555555555556,15.331999999999999
Alexander Hernandez,20,14.0,9.0,13.0,8.0,1526.0,751.0,3.0,3.0,0.0,0.0,0.0,94.0,30.0,0.0,3.0,20.0,4.666666666666667,4.0
Alexander Volkanovski,65,1173.0,762.0,1069.0,670.0,1640.0,675.0,549.0,400.0,0.0,64.0,36.0,125.0,55.0,4.386666666666667,613.0,60.61333333333333,1.9135399673735727,12.122666666666666
Alexander Volkov,80,1791.0,1123.0,1478.0,864.0,2695.0,1364.0,217.0,186.0,0.0,14.0,10.0,89.0,30.0,0.5644444444444444,231.0,79.43555555555555,7.753246753246753,15.88711111111111
Alexander Yakovlev,75,987.0,479.0,910.0,417.0,1502.0,558.0,122.0,93.0,0.0,65.0,15.0,92.0,30.0,2.1977777777777776,187.0,72.80222222222223,5.278074866310161,14.560444444444446
Alexandra Albu,25,74.0,53.0,62.0,42.0,439.0,182.0,0.0,0.0,1.0,1.0,0.0,10.0,8.0,0.0022222222222222222,2.0,24.997777777777777,37.0,4.999555555555555
Alexandre Pantoja,60,962.0,512.0,800.0,368.0,1876.0,758.0,134.0,116.0,10.0,12.0,6.0,108.0,36.0,2.368888888888889,156.0,57.63111111111111,6.166666666666667,11.526222222222222
Alexis Davis,85,2268.0,1369.0,1500.0,652.0,1608.0,648.0,703.0,638.0,13.0,33.0,17.0,54.0,20.0,4.295555555555556,749.0,80.70444444444445,3.02803738317757,16.140888888888888
Alexis Dufresne,30,86.0,65.0,28.0,12.0,0.0,0.0,75.0,60.0,0.0,3.0,3.0,0.0,0.0,1.2422222222222221,78.0,28.75777777777778,1.1025641025641026,5.751555555555556
Ali Bagautinov,85,1415.0,732.0,1100.0,456.0,1220.0,534.0,379.0,297.0,4.0,102.0,35.0,32.0,17.0,4.223333333333334,485.0,80.77666666666667,2.917525773195876,16.155333333333335
Alistair Overeem,115,3458.0,2825.0,2483.0,1921.0,2860.0,1379.0,1680.0,1482.0,4.0,54.0,13.0,105.0,43.0,11.737777777777778,1738.0,103.26222222222222,1.9896432681242808,8.79742521772056
Aljamain Sterling,145,7349.0,4692.0,5054.0,2527.0,3272.0,1270.0,2641.0,2271.0,57.0,289.0,124.0,113.0,47.0,28.717777777777776,2987.0,116.28222222222223,2.460328088382993,4.049137197245222
Allen Crowder,20,112.0,78.0,72.0,45.0,91.0,52.0,65.0,56.0,1.0,6.0,2.0,4.0,3.0,0.7722222222222223,72.0,19.227777777777778,1.5555555555555556,3.8455555555555554
Alptekin Ozkilic,35,629.0,220.0,616.0,208.0,54.0,27.0,25.0,14.0,0.0,32.0,19.0,0.0,0.0,1.0877777777777777,57.0,33.91222222222222,11.035087719298245,6.782444444444444
Alvaro Herrera,25,88.0,40.0,86.0,38.0,300.0,123.0,3.0,3.0,1.0,0.0,0.0,10.0,2.0,0.03333333333333333,4.0,24.966666666666665,22.0,4.993333333333333
Amanda Cooper,40,909.0,472.0,648.0,265.0,322.0,121.0,334.0,262.0,12.0,14.0,7.0,14.0,2.0,2.31,360.0,37.69,2.525,7.537999999999999
Amanda Nunes,100,1674.0,1057.0,1339.0,790.0,1828.0,871.0,809.0,579.0,16.0,46.0,17.0,91.0,36.0,6.257777777777778,871.0,93.74222222222222,1.9219288174512055,14.980113636363637
An Ying Wang,10,47.0,15.0,45.0,13.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,2.0,9.92,23.5,1.984
