Name,estimated_minutes,submission_wins_final,ko_tko_wins_final,StrikingAttemptsToGrapplingAttempts_Ratio,PercentRank_StrikingtoGrappingAttemps_Ratio,StrikingToGrapplingTime_Ratio,PercentRank_StrikingToGrappingTime_Ratio,manual_stat_entry,classification
Aaron Phillips,30,0,0,1.33,0.2,110.63,0.85,0,Grappler
Abdul Razak Alhassan,35,0,0,14.77,0.86,209,0.91,0,Striker
Abdul-Kerim Edilov,10,0,0,5.5,0.63,15,0.3,0,Grappler
Abel Trujillo,75,0,0,5.8,0.65,17.11,0.37,0,Grappler
Abner Lloveras,15,0,0,6.8,0.7,23,0.44,0,Grappler
Abu Azaitar,15,0,0,7,0.71,23,0.44,0,Striker
Adam Antolin,15,9,2,0,0,23,0.44,1,Grappler
Adam Milstead,35,0,0,34.71,0.94,55,0.77,0,Striker
Adam Wieczorek,25,0,0,3.49,0.47,49.85,0.75,0,Grappler
Adam Yandiev,10,0,0,0,0,15,0.3,0,Grappler
Adriano Martins,60,0,0,11.31,0.81,38.89,0.67,0,Striker
Aiemann Zahabi,30,0,0,22.6,0.9,47,0.72,0,Striker
Aisling Daly,35,0,0,1.9,0.26,19.95,0.41,0,Grappler
Akbarh Arreola,45,0,0,4.74,0.58,124.58,0.86,0,Grappler
Akira Corassani,20,0,0,80.5,0.98,31,0.59,0,Striker
Al Iaquinta,105,1,7,9.99,0.78,47.84,0.74,1,Striker
Alan Jouban,105,0,0,9.03,0.77,17.49,0.38,0,Striker
Alan Omer,30,0,0,4,0.52,47,0.72,0,Grappler
Alan Patrick,85,0,0,1.98,0.28,4.1,0.05,0,Grappler
Albert Cheng,5,1,2,0,0,7,0.11,1,Grappler
Albert Morales,80,0,0,9.91,0.78,27.36,0.57,0,Striker
Albert Tumenov,85,0,0,5.23,0.61,20.54,0.42,0,Grappler
Alberto Mina,45,0,0,3.97,0.52,39.6,0.69,0,Grappler
Alberto Uda,15,0,0,5,0.6,137.46,0.87,0,Grappler
Alejandro Perez,105,0,0,3.83,0.5,53.31,0.76,0,Grappler
Aleksandar Rakic,30,1,9,7.46,0.73,47,0.72,1,Striker
Aleksy Kunchenko,15,1,13,0,0,23,0.44,1,Striker
Alessandro Ricci,20,0,0,16.86,0.87,31,0.59,0,Striker
Alessio Di Chirico,60,0,0,6.77,0.7,33.45,0.65,0,Grappler
Alex Caceres,155,1,18,12.32,0.82,21.48,0.42,1,Striker
Alex Chambers,55,0,0,6.55,0.69,20.38,0.41,0,Grappler
Alex Garcia,105,0,0,3.37,0.46,3.37,0.04,0,Grappler
Alex Morono,75,0,0,10.69,0.8,138.53,0.88,0,Striker
Alex Nicholson,35,0,0,50.13,0.96,108.8,0.85,0,Striker
Alex Oliveira,140,0,0,2.95,0.42,3.02,0.03,0,Grappler
Alex Perez,35,6,4,2.82,0.4,9.04,0.2,1,Grappler
Alex Reyes,5,0,0,0,0,7,0.11,0,Grappler
Alex White,95,0,0,11.72,0.82,18.26,0.39,0,Striker
Alexa Grasso,50,0,4,14.58,0.86,299,0.92,1,Striker
Alexander Gustafsson,80,3,11,3.86,0.5,11.77,0.26,1,Striker
Alexander Hernandez,20,2,4,4.67,0.57,31,0.59,1,Striker
Alexander Volkanovski,65,3,11,1.91,0.27,6.9,0.11,1,Striker
Alexander Volkov,80,3,20,7.75,0.74,74.59,0.81,1,Striker
Alexander Yakovlev,75,0,0,5.28,0.62,17.2,0.38,0,Grappler
Alexandra Albu,25,0,0,37,0.95,39,0.67,0,Striker
Alexandre Pantoja,60,8,7,6.17,0.68,12.51,0.27,1,Grappler
ALEXEY OLEYNIK,60,45,8,2.7,0.37,47.24,0.74,1,Grappler
Alexis Davis,85,8,2,3.03,0.43,9.55,0.21,1,Grappler
Alexis Dufresne,30,0,0,1.1,0.18,11.88,0.26,0,Grappler
Alfred Khashakyan,5,0,0,0,0,7,0.11,0,Grappler
Ali Bagautinov,85,0,0,2.92,0.42,9.73,0.21,0,Grappler
Alistair Overeem,115,17,23,1.99,0.28,4.23,0.06,1,Striker
Aljamain Sterling,145,7,2,2.46,0.34,1.69,0.01,1,Grappler
Allan Zuniga,15,0,0,0,0,23,0.44,0,Grappler
Allen Crowder,20,0,0,1.56,0.23,12.81,0.28,0,Grappler
Alonzo Menifield,5,0,0,17,0.87,7,0.11,0,Striker
Alptekin Ozkilic,35,0,0,11.04,0.81,16.16,0.37,0,Striker
Alton Cunningham,5,0,0,0,0,7,0.11,0,Grappler
Alvaro Herrera,25,0,0,22,0.9,399,0.94,0,Striker
Amanda Cooper,40,0,0,2.53,0.35,8.24,0.18,0,Grappler
Amanda Lemos,10,0,0,0,0,15,0.3,0,Grappler
Amanda Nunes,100,3,13,1.92,0.27,7.52,0.17,1,Striker
Amir Sadollah,15,0,0,0,0,23,0.44,0,Grappler
An Ying Wang,10,0,0,23.5,0.91,65.67,0.8,0,Striker
Anderson Silva,80,8,23,61.06,0.97,1370.43,0.98,1,Striker
Andre Ewell,15,0,0,0,0,23,0.44,0,Grappler
Andre Fili,125,0,0,4.33,0.55,5.43,0.08,0,Grappler
Andre Soukhamthath,55,0,0,5.84,0.65,39,0.67,0,Grappler
Andrea Lee,15,4,2,0,0,23,0.44,1,Grappler
Andreas Stahl,20,0,0,44.33,0.95,31,0.59,0,Striker
