striking_grappling_att_ratio,class
359.25,1
351,1
316,1
286,1
282,1
248,1
206,1
172.25,1
168,1
134,1
127,1
126,1
121.5,1
108,1
107.5,1
106,1
103,1
101,1
97,1
87.5,1
83,1
80.5,1
80.5,1
79,1
78,1
77.8,1
75,1
66,1
65.25,1
64.6,1
64.5,1
64,1
62,1
61.0625,1
58.66666667,1
58.27272727,1
58,1
57.46666667,1
56,1
56,1
55.66666667,1
55.2,1
54.65384615,1
54.33333333,1
54,1
51,1
50.125,1
47.38888889,1
45,1
44.43243243,1
44.33333333,1
43.66666667,1
43.16438356,1
42.88235294,1
42.25174825,1
40.16666667,1
40,1
37.5,1
37,1
37,1
37,0
36.5,1
36.47058824,0
35.61111111,1
35.33333333,1
35.2,1
34.71428571,1
32.8,1
32.625,1
32.17391304,1
32,1
31.89240506,1
31.36363636,1
31.32352941,1
31,1
30.25,1
29.58536585,1
29.10199557,1
29,1
28.71428571,1
28.51612903,1
28.5,1
28.48648649,1
28,1
28,1
27.71428571,1
27,1
26.91666667,1
26.77777778,1
26.71875,1
26.7,1
26.30555556,1
25.90265487,1
25.27665706,1
25.13333333,1
25.04761905,1
25,1
24.75,1
24.29411765,1
24,1
23.5,1
23.13333333,1
22.79470199,1
22.64285714,1
22.625,1
22.6,1
22.34042553,1
22,1
22,1
22,1
22,1
22,1
22,1
22,1
21.81538462,1
21.75,1
21.73333333,1
21.66666667,1
21.25,1
21,1
21,1
21,1
20.45348837,1
20.22222222,1
19.76923077,1
19.4173913,1
19.33333333,1
19.33333333,1
19.24705882,1
19,1
19,0
18.16666667,1
18,1
18,1
17.98701299,1
17.81944444,1
17.66666667,1
17.367713,1
17.19895288,1
17.1640625,0
17.0625,1
17,1
17,1
17,1
17,0
16.94444444,1
16.85714286,1
16.59130435,1
15.93103448,1
15.77777778,1
15.51578947,1
15.5,1
15.4,1
15.0625,1
15,1
15,1
14.81518152,0
14.76923077,1
14.58139535,1
14.38423645,1
14.33333333,1
14.26470588,1
14.09210526,1
14.04518072,1
14,1
14,1
14,1
13.96875,1
13.90909091,1
13.87740385,1
13.75,1
13.71428571,1
13.66101695,1
13.63675214,1
13.60946746,1
13.55555556,1
13.5,1
13.4040747,1
13.34545455,1
13.10344828,1
13.00917431,1
13,1
12.9015025,1
12.83333333,1
12.63380282,1
12.54545455,1
12.52631579,1
12.43589744,1
12.42496847,1
12.40856031,1
12.40350877,1
12.37142857,0
12.36,1
12.33663366,1
12.32310838,1
12.13416816,1
12.09144543,1
12,1
11.8800813,0
11.77966102,1
11.71959459,1
11.58098592,1
11.56666667,1
11.4,1
11.35714286,1
11.33333333,1
11.30952381,1
11.12222222,1
11.03834808,1
11.03508772,1
11,1
10.98540146,1
10.94492754,1
10.93298969,1
10.92090395,1
10.80701754,1
10.75728155,1
10.72727273,1
10.7,1
10.69117647,1
10.68571429,1
10.64615385,1
10.62616822,1
10.625,1
10.57509158,1
10.56097561,1
10.444,1
10.42424242,1
10.38068182,1
10.32428356,0
10.22560976,0
10.22222222,1
10.12227074,1
10.0989011,0
10.05333333,1
10.00793651,1
10,1
10,1
10,1
10,1
9.985294118,1
9.952702703,1
